date,category,amount
2025-05-01,Part-time Job,450.00
2025-05-05,Eating Out,-120.00
2025-05-08,Groceries,-85.50
2025-05-12,Entertainment,-75.00
2025-05-15,Rent,-600.00
2025-05-18,Shopping,-110.00
2025-05-20,Utilities,-45.00
2025-05-22,Coffee,-22.50
2025-05-25,Books,-65.00
2025-05-28,Scholarship,1000.00
2025-06-02,Part-time Job,450.00
2025-06-05,Eating Out,-65.00
2025-06-08,Groceries,-82.00
2025-06-12,Entertainment,-30.00
2025-06-15,Rent,-600.00
2025-06-18,Shopping,-45.00
2025-06-20,Utilities,-48.00
2025-06-22,Coffee,-12.00
2025-06-25,Books,-70.00
2025-06-28,Scholarship,1000.00
2025-07-01,Part-time Job,450.00
2025-07-04,Eating Out,-48.00
2025-07-07,Groceries,-88.00
2025-07-11,Entertainment,-25.00
2025-07-15,Rent,-600.00
2025-07-18,Shopping,-38.00
2025-07-20,Utilities,-46.50
2025-07-23,Coffee,-10.00
2025-07-26,Books,-75.00
2025-07-29,Scholarship,1000.00
